SHORTNAME,TEAMNAME,MATCHLABEL,total_duels,stoppedprogress_count,recoveredpossession_count,stoppedprogress_percent,recoveredpossession_percent
S. Larsen,SønderjyskE U19,"OB U19 - Sønderjyske U19, 4 - 2",2,0,0,0.0,0.0
S. Laustsen,Silkeborg U19,"Randers U19 - Silkeborg U19, 0 - 2",6,5,2,83.33,33.33
S. Laustsen,Silkeborg U19,"Silkeborg U19 - Brøndby U19, 3 - 1",2,2,0,100.0,0.0
S. Lodberg,Midtjylland U19,"Esbjerg U19 - Midtjylland U19, 1 - 2",1,0,0,0.0,0.0
S. Lodberg,Midtjylland U19,"Midtjylland U19 - Nordsjælland U19, 1 - 2",1,1,0,100.0,0.0
S. Mørk,OB U19,"AaB U19 - OB U19, 3 - 3 (P)",10,5,2,50.0,20.0
S. Mørk,OB U19,"OB U19 - Sønderjyske U19, 4 - 2",5,1,0,20.0,0.0
S. Piechnik Hust,Vejle U19,"Sønderjyske U19 - Vejle U19, 2 - 3",4,1,0,25.0,0.0
S. Piechnik Hust,Vejle U19,"Vejle U19 - København U19, 2 - 2 (P)",3,3,1,100.0,33.33
S. Schøt,AGF U19,"AGF U19 - Esbjerg U19, 1 - 2",3,2,1,66.67,33.33
S. Schøt,AGF U19,"AGF U19 - Horsens U19, 1 - 2",2,1,0,50.0,0.0
S. Stüker,Silkeborg U19,"Randers U19 - Silkeborg U19, 0 - 2",7,4,1,57.14,14.29
S. Stüker,Silkeborg U19,"Silkeborg U19 - Brøndby U19, 3 - 1",8,5,1,62.5,12.5
S. Willum Høj Jensen,AaB U19,"Nordsjælland U19 - AaB U19, 1 - 0",3,2,0,66.67,0.0
T. Breum-Harild,København U19,"Vejle U19 - København U19, 2 - 2 (P)",1,1,1,100.0,100.0
T. Cevher,Brøndby U19,"Silkeborg U19 - Brøndby U19, 3 - 1",3,2,0,66.67,0.0
T. Kristjánsson,AGF U19,"AGF U19 - Esbjerg U19, 1 - 2",1,1,1,100.0,100.0
T. Kristjánsson,AGF U19,"AGF U19 - Horsens U19, 1 - 2",1,1,0,100.0,0.0
T. Lundsgaard,AaB U19,"AaB U19 - OB U19, 3 - 3 (P)",1,1,0,100.0,0.0
T. Lundsgaard,AaB U19,"Nordsjælland U19 - AaB U19, 1 - 0",7,3,1,42.86,14.29
T. Lykkebak,Vejle U19,"Sønderjyske U19 - Vejle U19, 2 - 3",2,2,0,100.0,0.0
T. Lykkebak,Vejle U19,"Vejle U19 - København U19, 2 - 2 (P)",11,9,3,81.82,27.27
T. Nilsson,Lyngby U19,"Brøndby U19 - Lyngby U19, 2 - 0",9,8,5,88.89,55.56
T. Svendsen,Nordsjælland U19,"Midtjylland U19 - Nordsjælland U19, 1 - 2",4,2,0,50.0,0.0
T. Svendsen,Nordsjælland U19,"Nordsjælland U19 - AaB U19, 1 - 0",2,1,1,50.0,50.0
V. Bender,OB U19,"AaB U19 - OB U19, 3 - 3 (P)",8,6,2,75.0,25.0
V. Bender,OB U19,"OB U19 - Sønderjyske U19, 4 - 2",4,2,2,50.0,50.0
V. Bolander,OB U19,"OB U19 - Sønderjyske U19, 4 - 2",6,3,0,50.0,0.0
V. Dahl,Silkeborg U19,"Silkeborg U19 - Brøndby U19, 3 - 1",2,2,0,100.0,0.0
V. Dalsgaard,Nordsjælland U19,"Midtjylland U19 - Nordsjælland U19, 1 - 2",3,2,0,66.67,0.0
V. Dalsgaard,Nordsjælland U19,"Nordsjælland U19 - AaB U19, 1 - 0",5,3,2,60.0,40.0
V. Daðason,København U19,"København U19 - Horsens U19, 3 - 1",3,2,1,66.67,33.33
V. Daðason,København U19,"Vejle U19 - København U19, 2 - 2 (P)",5,4,1,80.0,20.0
V. Fjeldgaard,AaB U19,"AaB U19 - OB U19, 3 - 3 (P)",3,0,0,0.0,0.0
V. Fjeldgaard,AaB U19,"Nordsjælland U19 - AaB U19, 1 - 0",3,1,1,33.33,33.33
V. Friis,OB U19,"AaB U19 - OB U19, 3 - 3 (P)",12,9,1,75.0,8.33
V. Friis,OB U19,"OB U19 - Sønderjyske U19, 4 - 2",6,2,2,33.33,33.33
V. Gaml,Randers U19,"Randers U19 - Silkeborg U19, 0 - 2",3,2,0,66.67,0.0
V. Grønhøj Nissen,SønderjyskE U19,"Sønderjyske U19 - Vejle U19, 2 - 3",4,2,1,50.0,25.0
V. Gustafsen,Nordsjælland U19,"Midtjylland U19 - Nordsjælland U19, 1 - 2",15,7,3,46.67,20.0
V. Gustafsen,Nordsjælland U19,"Nordsjælland U19 - AaB U19, 1 - 0",2,0,0,0.0,0.0
V. Lykke,Lyngby U19,"Brøndby U19 - Lyngby U19, 2 - 0",5,2,1,40.0,20.0
V. Nøhr Birk,SønderjyskE U19,"OB U19 - Sønderjyske U19, 4 - 2",4,1,1,25.0,25.0
V. Nøhr Birk,SønderjyskE U19,"Sønderjyske U19 - Vejle U19, 2 - 3",3,3,2,100.0,66.67
V. Poulsen,Brøndby U19,"Brøndby U19 - Lyngby U19, 2 - 0",7,4,1,57.14,14.29
V. Poulsen,Brøndby U19,"Silkeborg U19 - Brøndby U19, 3 - 1",2,2,2,100.0,100.0
V. Rosenberg,AGF U19,"AGF U19 - Esbjerg U19, 1 - 2",4,2,1,50.0,25.0
V. Rosenberg,AGF U19,"AGF U19 - Horsens U19, 1 - 2",2,0,0,0.0,0.0
V. Rutkjær,Nordsjælland U19,"Midtjylland U19 - Nordsjælland U19, 1 - 2",3,2,0,66.67,0.0
V. Rutkjær,Nordsjælland U19,"Nordsjælland U19 - AaB U19, 1 - 0",2,1,1,50.0,50.0
V. Vestergaard,AaB U19,"Nordsjælland U19 - AaB U19, 1 - 0",6,3,1,50.0,16.67
W. Brink Frederiksen,Lyngby U19,"Brøndby U19 - Lyngby U19, 2 - 0",2,0,0,0.0,0.0
W. Faber,Nordsjælland U19,"Midtjylland U19 - Nordsjælland U19, 1 - 2",5,1,1,20.0,20.0
W. Faber,Nordsjælland U19,"Nordsjælland U19 - AaB U19, 1 - 0",3,2,0,66.67,0.0
W. Kirk,Silkeborg U19,"Randers U19 - Silkeborg U19, 0 - 2",13,7,3,53.85,23.08
W. Kirk,Silkeborg U19,"Silkeborg U19 - Brøndby U19, 3 - 1",13,5,3,38.46,23.08
W. Møller,Silkeborg U19,"Randers U19 - Silkeborg U19, 0 - 2",5,3,1,60.0,20.0
W. Møller,Silkeborg U19,"Silkeborg U19 - Brøndby U19, 3 - 1",7,5,1,71.43,14.29
W. Nørlev,København U19,"Vejle U19 - København U19, 2 - 2 (P)",2,2,0,100.0,0.0
W. Rygaard,AGF U19,"AGF U19 - Esbjerg U19, 1 - 2",4,1,0,25.0,0.0
W. Thomsen,AaB U19,"AaB U19 - OB U19, 3 - 3 (P)",1,0,0,0.0,0.0
W. Thomsen,AaB U19,"Nordsjælland U19 - AaB U19, 1 - 0",4,3,1,75.0,25.0
Y. Faghir,Vejle U19,"Vejle U19 - København U19, 2 - 2 (P)",2,1,0,50.0,0.0
Y. Taffal,Randers U19,"Randers U19 - Silkeborg U19, 0 - 2",1,0,0,0.0,0.0
Z. Grantzau,AGF U19,"AGF U19 - Esbjerg U19, 1 - 2",2,1,0,50.0,0.0
Z. Grantzau,AGF U19,"AGF U19 - Horsens U19, 1 - 2",3,3,1,100.0,33.33
